CDS,Length,rawseq.p1,avsims.p1,sdsims.p1,z.score.p1,rawseq.m1,avsims.m1,sdsims.m1,z.score.m1,highest.exp,lowest.exp
BSU08250,945,0.023280423,0.019263492,0.002406461,1.669227674,0.014814815,0.017337566,0.002877439,-0.876734947,n,y
BSU08260,1449,0.019323671,0.018803313,0.001851132,0.281102837,0.011732229,0.012469979,0.001903793,-0.387515958,n,n
BSU08270,942,0.02866242,0.026270701,0.002388902,1.001179418,0.014861996,0.017491507,0.002740444,-0.959519945,n,n
BSU08280,1182,0.01607445,0.014676819,0.001878444,0.744036479,0.024534687,0.025813029,0.002624788,-0.487026726,n,n
BSU08290,1203,0.02078138,0.018947631,0.002052655,0.893354592,0.019118869,0.018085619,0.002463481,0.419426817,n,n
BSU08300,663,0.028657617,0.025184012,0.002824461,1.229829163,0.015082956,0.019645551,0.00337514,-1.351823761,n,n
BSU08310,936,0.019230769,0.020151709,0.002089428,-0.440761955,0.023504274,0.021258547,0.003074228,0.730501104,n,n
BSU08320,1191,0.020990764,0.02138539,0.001973154,-0.199997812,0.012594458,0.01452225,0.002511792,-0.767496824,n,n
BSU08330,1158,0.017271157,0.017174439,0.002072037,0.046677879,0.015544041,0.016696891,0.002439265,-0.47262189,n,y
BSU08340,549,0.023679417,0.024300546,0.002841269,-0.218609903,0.016393443,0.017803279,0.003718298,-0.37916169,n,n
BSU08350,633,0.020537125,0.019184834,0.002954973,0.457632206,0.02685624,0.027905213,0.003888684,-0.269750148,n,n
BSU08360,1089,0.024793388,0.020614325,0.001993757,2.096074871,0.01010101,0.013494031,0.002246293,-1.510497864,n,n
BSU08370,618,0.017799353,0.016742718,0.002760074,0.382828327,0.029126214,0.032234628,0.003540528,-0.87795215,n,n
BSU08380,1254,0.015948963,0.016602871,0.00208719,-0.313295746,0.00877193,0.011828549,0.002222131,-1.375534817,n,y
BSU08390,537,0.020484171,0.01764432,0.002923021,0.971546622,0.016759777,0.021052142,0.003757787,-1.142258861,n,n
BSU08400,1557,0.015414258,0.016271676,0.001874179,-0.457490028,0.011560694,0.014651895,0.002166563,-1.426776618,n,y
BSU08410,483,0.033126294,0.02673913,0.003288145,1.942482126,0.016563147,0.018484472,0.003658179,-0.525213449,n,n
BSU08425,2571,0.015947102,0.018786853,0.001410651,-2.013079199,0.01361338,0.015851809,0.001667853,-1.342102481,n,n
BSU08440,978,0.017382413,0.019701431,0.002080046,-1.114888229,0.033742331,0.032674847,0.003127133,0.341361926,n,n
BSU08450,1002,0.01497006,0.013669661,0.002039293,0.637671727,0.00499002,0.009666667,0.002080485,-2.247863581,n,n
BSU08460,1032,0.020348837,0.02392345,0.002434194,-1.468499193,0.004844961,0.009464147,0.002262169,-2.041928243,n,n
BSU08470,882,0.014739229,0.013424036,0.001723472,0.763106569,0.019274376,0.02346712,0.003199361,-1.310494327,n,n
BSU08480,585,0.008547009,0.008126496,0.002059056,0.20422627,0.022222222,0.023010256,0.003680225,-0.214126596,n,n
BSU08490,192,0.005208333,0.002651042,0.002605048,0.981667792,0.026041667,0.028932292,0.006443417,-0.448616804,n,n
BSU08510,912,0.019736842,0.017087719,0.001915566,1.382945078,0.009868421,0.012407895,0.002489131,-1.020225137,n,n
BSU08520,795,0.010062893,0.012972327,0.002227576,-1.306098838,0.031446541,0.031445283,0.003481041,0.000361386,n,n
BSU08530,315,0.012698413,0.014368254,0.002985154,-0.559381881,0.00952381,0.015479365,0.004599038,-1.294956783,n,n
BSU08540,1194,0.021775544,0.021393635,0.002169612,0.176026506,0.005862647,0.011253769,0.00215532,-2.501309561,n,n
BSU08550,153,0.006535948,0.004006536,0.003185015,0.794160055,0.019607843,0.023980392,0.006906353,-0.633119857,n,n
BSU08560,270,0.022222222,0.024381481,0.003795458,-0.568906143,0.025925926,0.02137037,0.004623935,0.98521191,n,n
BSU08570,519,0.021194605,0.018853565,0.00274714,0.852173679,0.015414258,0.017071291,0.003653779,-0.453512139,n,n
BSU08580,333,0.036036036,0.039930931,0.004356835,-0.89397355,0.006006006,0.010546547,0.003708899,-1.224228865,n,n
BSU08590,861,0.015098722,0.014513357,0.00199109,0.293992418,0.020905923,0.020643438,0.003075501,0.085347081,n,n
BSU08600,990,0.018181818,0.017267677,0.002133786,0.428412785,0.025252525,0.027120202,0.002890087,-0.646235597,n,n
BSU08610,2586,0.018561485,0.017688322,0.00140028,0.623563123,0.012374323,0.020382831,0.001824547,-4.389312118,n,n
BSU08620,984,0.015243902,0.016943089,0.002255397,-0.753387167,0.017276423,0.021742886,0.002783231,-1.604776057,n,n
BSU08630,1110,0.018918919,0.017947748,0.002211513,0.439143365,0.022522523,0.018992793,0.002709649,1.302652034,n,n
BSU08640,225,0.022222222,0.017533333,0.002989454,1.568476356,0.017777778,0.018693333,0.003561679,-0.257057161,n,n
BSU08650,753,0.018592297,0.018289509,0.002298287,0.131745246,0.025232404,0.02386587,0.003454113,0.395625213,n,n
BSU08670,345,0.020289855,0.017057971,0.00328837,0.982822552,0.017391304,0.024446377,0.005256642,-1.342125402,n,n
BSU08680,531,0.018832392,0.013412429,0.002233463,2.426707694,0.028248588,0.028581921,0.003726524,-0.089448778,n,n
BSU08690,1743,0.021801492,0.022173838,0.001714342,-0.217194856,0.025243832,0.023067126,0.002241404,0.971135159,n,n
BSU08700,1062,0.02259887,0.021194915,0.002148694,0.653399168,0.018832392,0.022484934,0.002815947,-1.297091993,n,n
BSU08710,1290,0.013178295,0.015537209,0.001677688,-1.406051046,0.021705426,0.022829457,0.002650799,-0.424034737,n,n
BSU08720,474,0.021097046,0.022135021,0.002845956,-0.364719283,0.03164557,0.030691983,0.004411285,0.21616989,n,n
BSU08730,438,0.01826484,0.020940639,0.003352802,-0.798078484,0.020547945,0.020378995,0.004323522,0.039076936,n,n
BSU08740,354,0.02259887,0.019183616,0.003895049,0.876819261,0.031073446,0.031666667,0.00395264,-0.150082206,n,n
BSU08750,885,0.025988701,0.022705085,0.002269809,1.446649023,0.030508475,0.033213559,0.003325458,-0.813447147,n,n
BSU08760,777,0.015444015,0.016640927,0.002298041,-0.520839985,0.021879022,0.025619048,0.003368408,-1.110324463,n,n
BSU08770,204,0.044117647,0.041009804,0.005873113,0.529164566,0.024509804,0.037627451,0.00657086,-1.996336378,n,n
BSU08779,273,0.018315018,0.014194139,0.004350788,0.947156953,0.025641026,0.026043956,0.005046175,-0.079848596,n,n
BSU08780,693,0.023088023,0.019813853,0.002649002,1.236001373,0.014430014,0.020816739,0.003036121,-2.103580253,n,n
BSU08790,1773,0.016356458,0.015333333,0.001477061,0.692676169,0.025944726,0.025399887,0.00233437,0.233398774,n,n
BSU08800,1356,0.024336283,0.021721976,0.001733195,1.508374176,0.021386431,0.021766962,0.002546937,-0.149407328,n,n
BSU08810,198,0.02020202,0.016681818,0.00331808,1.060915156,0.03030303,0.028873737,0.004715622,0.303097474,n,n
BSU08820,1452,0.013774105,0.011488292,0.001556283,1.468764683,0.025482094,0.025837466,0.002718888,-0.130704887,n,n
BSU08830,768,0.0234375,0.02196875,0.002680475,0.547943919,0.016927083,0.016248698,0.003063937,0.221409588,n,n
BSU08840,999,0.02002002,0.018482482,0.002083197,0.738066276,0.03003003,0.031712713,0.003127708,-0.537992358,n,n
BSU08850,831,0.015643803,0.020006017,0.002327864,-1.873912413,0.014440433,0.011724428,0.002324305,1.168523585,n,n
BSU08860,1131,0.016799293,0.013237843,0.001861316,1.913404943,0.016799293,0.01803183,0.002713733,-0.454185087,n,n
BSU08870,537,0.00744879,0.009767225,0.002138118,-1.084334435,0.029795158,0.030320298,0.004124413,-0.127324801,n,n
BSU08880,270,0.018518519,0.017666667,0.004108158,0.207356291,0.018518519,0.017666667,0.00454909,0.187257672,n,n
BSU08890,474,0.016877637,0.017054852,0.002677376,-0.066189925,0.012658228,0.015696202,0.003044474,-0.997864829,n,n
BSU08899,201,0.034825871,0.028965174,0.004958453,1.181960774,0.009950249,0.010995025,0.002027423,-0.515322173,n,n
BSU08900,624,0.008012821,0.010669872,0.002430058,-1.093410625,0.02724359,0.024205128,0.003765414,0.806939774,n,n
BSU08910,1161,0.015503876,0.015142119,0.001680228,0.215302396,0.024978467,0.025614126,0.002837703,-0.224004795,n,n
BSU08920,936,0.017094017,0.014629274,0.00212677,1.158914053,0.026709402,0.028027778,0.003340965,-0.39460939,n,n
BSU08930,483,0.016563147,0.016362319,0.00292181,0.068734152,0.026915114,0.02584265,0.004018614,0.266874131,n,n
BSU08940,717,0.022315202,0.025276151,0.002924972,-1.01229973,0.020920502,0.023309623,0.003607213,-0.662317607,n,n
BSU08950,714,0.022408964,0.021173669,0.002315295,0.533536464,0.025210084,0.023844538,0.003224842,0.4234459,n,n
BSU08960,708,0.024011299,0.026223164,0.002584009,-0.85598188,0.021186441,0.02179096,0.003227034,-0.187329627,n,n
BSU08970,1896,0.023206751,0.020819093,0.001453139,1.643103574,0.029535865,0.031714662,0.002364607,-0.9214202,n,n
BSU08980,1179,0.018659881,0.016215437,0.001739544,1.405221299,0.03307888,0.031569126,0.00301935,0.50002618,n,n
BSU08990,465,0.027956989,0.028193548,0.003389662,-0.069788481,0.030107527,0.028288172,0.003771334,0.482416843,n,n
BSU09000,666,0.031531532,0.026779279,0.002308672,2.058435394,0.028528529,0.036627628,0.003992931,-2.028359139,n,n
BSU09010,1599,0.02188868,0.021155097,0.001902085,0.385673102,0.016260163,0.015499062,0.002004002,0.379790452,n,n
BSU09020,531,0.018832392,0.019578154,0.002722094,-0.273966458,0.026365348,0.025282486,0.004266902,0.253781809,n,n
BSU09030,375,0.008,0.009776,0.001258335,-1.411388665,0.037333333,0.036168,0.004395349,0.265128647,n,n
BSU09040,156,0.012820513,0.016403846,0.004038543,-0.887283753,0.012820513,0.007685897,0.002560563,2.005268243,n,y
BSU09050,762,0.024934383,0.024406824,0.003276277,0.161023871,0.009186352,0.015038058,0.002537277,-2.30629343,n,n
BSU09060,366,0.021857923,0.022710383,0.002723551,-0.312995581,0.013661202,0.015401639,0.003008498,-0.57850704,n,n
BSU09070,699,0.021459227,0.019100143,0.002708886,0.870868753,0.031473534,0.031167382,0.003544446,0.086375131,n,n
BSU09080,918,0.027233115,0.025471678,0.002271617,0.775411423,0.02832244,0.029464052,0.003147006,-0.362761275,n,n
BSU09090,942,0.023354565,0.02557431,0.002230597,-0.995135075,0.018046709,0.01788535,0.002599634,0.062069888,n,n
BSU09100,204,0.019607843,0.017068627,0.003244617,0.782593279,0.029411765,0.035063725,0.005411751,-1.044386587,y,n
BSU09110,831,0.02045728,0.01911432,0.002189952,0.613237009,0.025270758,0.023575211,0.003259567,0.520175551,n,n
BSU09120,1080,0.021296296,0.020873148,0.002172605,0.194765188,0.022222222,0.022399074,0.002599924,-0.068021986,n,n
BSU09130,1392,0.021551724,0.023452586,0.002010534,-0.945451405,0.013649425,0.014126437,0.002146057,-0.222273692,n,n
BSU09140,456,0.015350877,0.017782895,0.00173751,-1.399714125,0.021929825,0.019032895,0.003941998,0.734888722,n,n
BSU09150,570,0.026315789,0.022373684,0.002884188,1.366798854,0.054385965,0.058894737,0.004770024,-0.945230389,n,n
BSU09165,969,0.022703818,0.01955934,0.002003915,1.569167791,0.027863777,0.026906089,0.00309491,0.309439655,n,n
BSU09180,654,0.016819572,0.015929664,0.002085986,0.426612781,0.02293578,0.022909786,0.003641065,0.007139121,n,n
BSU09190,3654,0.022167488,0.019343186,0.001081586,2.611259816,0.028735632,0.027709907,0.001699396,0.603582017,n,n
BSU09200,597,0.018425461,0.01621943,0.002520799,0.875131348,0.021775544,0.023552764,0.003329598,-0.5337641,n,n
BSU09210,909,0.01980198,0.021253025,0.002319559,-0.625569443,0.02090209,0.020568757,0.003002038,0.11103556,n,n
BSU09220,396,0.027777778,0.027805556,0.002787056,-0.009966628,0.025252525,0.027340909,0.004146159,-0.503691231,n,n
BSU09230,423,0.033096927,0.026349882,0.003327094,2.027909223,0.014184397,0.015765957,0.004373754,-0.361602439,n,n
BSU09240,663,0.02413273,0.023556561,0.002849699,0.202185869,0.030165913,0.030214178,0.003236192,-0.014914133,n,n
BSU09250,1542,0.013618677,0.012132944,0.001416228,1.049077094,0.025291829,0.02393904,0.002406864,0.5620545,n,n
BSU09259,192,0.005208333,0.005640625,0.003699807,-0.116841758,0.010416667,0.0170625,0.005543773,-1.198792319,n,n
BSU09260,1353,0.022172949,0.020031042,0.001565438,1.368247845,0.014042868,0.015748707,0.00243656,-0.700101383,n,n
BSU09270,579,0.022452504,0.018789292,0.002633318,1.39110111,0.018998273,0.023863558,0.003704295,-1.313417181,n,n
BSU09280,825,0.021818182,0.021024242,0.0026905,0.295089966,0.007272727,0.012830303,0.002335493,-2.379615844,n,n
BSU09290,1491,0.015425889,0.013140845,0.001553155,1.471227692,0.022132797,0.023260228,0.002459771,-0.458348005,n,n
BSU09300,1668,0.019784173,0.018714628,0.001563605,0.684025052,0.019784173,0.02288789,0.002277554,-1.362741107,n,n
BSU09310,1746,0.016609393,0.015793814,0.001531404,0.53256921,0.02978236,0.026364834,0.00234001,1.460474661,n,n
BSU09320,1140,0.026315789,0.022985088,0.002040903,1.631974356,0.016666667,0.021179825,0.00274321,-1.645210311,n,n
BSU09330,645,0.023255814,0.023151938,0.002724273,0.038129805,0.017054264,0.020646512,0.003697666,-0.971490657,n,n
BSU09340,525,0.026666667,0.02992,0.003458091,-0.940788738,0.022857143,0.023550476,0.003715658,-0.186597657,n,n
BSU09350,243,0.020576132,0.014139918,0.0034934,1.84239277,0.024691358,0.034880658,0.004367864,-2.332788069,n,n
BSU09360,324,0.018518519,0.012354938,0.002908251,2.119342934,0.021604938,0.027228395,0.00460129,-1.222147809,n,n
BSU09370,1467,0.023176551,0.02058214,0.00161541,1.606038843,0.019768234,0.023977505,0.002712661,-1.551712845,n,n
BSU09380,441,0.034013605,0.030698413,0.003587542,0.924084671,0.013605442,0.021272109,0.004208952,-1.821514616,n,n
BSU09390,1659,0.019288728,0.019341169,0.001853258,-0.028296865,0.01084991,0.015459916,0.002062488,-2.235167955,n,n
BSU09400,1407,0.021321962,0.019047619,0.001838956,1.236757813,0.026297086,0.026232409,0.002503667,0.025832912,n,n
BSU09410,1386,0.020923521,0.017571429,0.00153719,2.18066245,0.031746032,0.025507215,0.002741972,2.275303162,n,n
BSU09420,1005,0.021890547,0.019727363,0.001930319,1.120635171,0.016915423,0.026383085,0.00331821,-2.853244045,n,n
BSU09430,876,0.02283105,0.019244292,0.002384232,1.504365815,0.015981735,0.022184932,0.003154752,-1.966302327,n,n
BSU09440,1101,0.019981835,0.017475931,0.001847836,1.356128972,0.017257039,0.019252498,0.002699095,-0.739306698,n,n
BSU09450,870,0.014942529,0.013974713,0.001878073,0.515324173,0.014942529,0.019077011,0.002996759,-1.379651252,n,n
BSU09460,1398,0.022174535,0.023007868,0.002081317,-0.400387612,0.007868383,0.01104578,0.002090262,-1.520094885,n,n
BSU09470,1356,0.019174041,0.017291298,0.001892247,0.994977508,0.008849558,0.009226401,0.001917211,-0.196557921,n,n
BSU09480,1410,0.014893617,0.015610638,0.001792976,-0.399905684,0.017730496,0.019641844,0.00249645,-0.765626264,n,n
BSU09490,429,0.016317016,0.014643357,0.003028657,0.552607816,0.016317016,0.018331002,0.00414674,-0.485679325,n,n
BSU09500,291,0.013745704,0.016398625,0.004009556,-0.661649688,0.010309278,0.009670103,0.004187492,0.152639097,n,n
BSU09510,1077,0.025998143,0.021567317,0.002045425,2.166213,0.023212628,0.027637883,0.002973464,-1.488248995,n,n
BSU09520,492,0.028455285,0.024926829,0.003433189,1.027748683,0.030487805,0.034276423,0.004448525,-0.851657197,n,n
BSU09530,996,0.014056225,0.014013052,0.001880128,0.022962691,0.022088353,0.024155623,0.00298251,-0.693130983,n,n
BSU09540,600,0.021666667,0.01667,0.002663827,1.875747632,0.02,0.026486667,0.003716071,-1.745571122,n,n
BSU09550,1335,0.020224719,0.016862172,0.001832048,1.835403007,0.03071161,0.025394756,0.002734208,1.944568547,n,n
BSU09560,432,0.020833333,0.021851852,0.003102367,-0.328303817,0.027777778,0.028219907,0.004557538,-0.097010494,n,n
BSU09570,1182,0.024534687,0.024909475,0.002141821,-0.17498593,0.025380711,0.026173435,0.002863573,-0.276830382,n,n
BSU09590,1386,0.026695527,0.025928571,0.002119993,0.361772748,0.022366522,0.022,0.002602903,0.140812757,n,n
BSU09600,357,0.019607843,0.016014006,0.003528186,1.018607675,0.00280112,0.008815126,0.003236144,-1.858386537,n,n
BSU09610,396,0.025252525,0.025219697,0.004125911,0.007956554,0.005050505,0.003116162,0.002297941,0.841772251,n,n
BSU09620,732,0.017759563,0.020897541,0.002290688,-1.369884668,0.013661202,0.020375683,0.003324952,-2.019421865,n,n
BSU09640,1116,0.015232975,0.016628136,0.002102636,-0.663529652,0.027777778,0.025467742,0.002647944,0.872388545,n,n
BSU09650,744,0.016129032,0.014981183,0.002331008,0.492426158,0.018817204,0.021139785,0.003193629,-0.727254448,n,n
BSU09660,849,0.021201413,0.022169611,0.00246414,-0.392915338,0.014134276,0.022464075,0.003381711,-2.463190536,n,n
BSU09670,849,0.017667845,0.019465253,0.002377227,-0.756094411,0.02237927,0.023946996,0.003438849,-0.455886855,n,n
BSU09680,1362,0.028634361,0.028786344,0.00219321,-0.069296893,0.010279001,0.012132893,0.002101645,-0.882114556,n,n
BSU09690,501,0.033932136,0.033842315,0.002722804,0.032988289,0.02994012,0.029139721,0.004630386,0.172857941,n,n
BSU09700,162,0.012345679,0.015376543,0.004711221,-0.643328763,0.024691358,0.021907408,0.005672445,0.490784867,n,n
BSU09710,1758,0.021615472,0.019093288,0.001637389,1.540369953,0.021046644,0.019974972,0.002046793,0.523585894,n,n
BSU09720,2022,0.019287834,0.017593472,0.001604925,1.055726593,0.021760633,0.021605836,0.00213095,0.072642242,n,n
BSU09730,621,0.017713366,0.014162641,0.002461879,1.44228231,0.022544283,0.020756844,0.003607559,0.495470462,n,n
BSU09740,126,0.023809524,0.016722222,0.004853127,1.460357761,0.007936508,0.021007937,0.005549202,-2.355551089,n,n
BSU09750,204,0.014705882,0.019769608,0.003549898,-1.426442722,0.029411765,0.024686274,0.005971925,0.79128443,n,n
BSU09760,219,0.01369863,0.017940639,0.003098366,-1.369111794,0.03652968,0.031913242,0.004570502,1.010050486,n,n
BSU09770,1362,0.012481645,0.010287812,0.001631343,1.344801592,0.024229075,0.02664464,0.002600866,-0.928754251,n,n
BSU09780,1092,0.011904762,0.010906593,0.001972277,0.506099554,0.02014652,0.0235,0.002848476,-1.177289257,n,n
BSU09790,1134,0.02292769,0.020661376,0.002229749,1.016398668,0.027336861,0.02676455,0.002729042,0.209711318,n,n
BSU09800,354,0.025423729,0.021457627,0.003756693,1.055742837,0.025423729,0.02640113,0.004670011,-0.209293082,n,n
BSU09810,1074,0.023277467,0.02652514,0.002409829,-1.347677513,0.022346369,0.022484171,0.002781636,-0.049539906,n,n
BSU09830,867,0.023068051,0.018815456,0.00229611,1.85208731,0.023068051,0.028152249,0.003154301,-1.611830389,n,n
BSU09840,1506,0.015936255,0.015143426,0.001484976,0.533900155,0.021912351,0.023806773,0.002430568,-0.779415278,n,n
BSU09850,1218,0.014778325,0.01517734,0.002107058,-0.18937065,0.012315271,0.012793103,0.002212264,-0.215992262,n,n
BSU09860,498,0.010040161,0.007512048,0.002018976,1.252175679,0.034136546,0.036903614,0.004453141,-0.621374465,n,n
BSU09870,339,0.017699115,0.020843658,0.003843128,-0.818224758,0.017699115,0.016351033,0.004305452,0.31311043,n,n
BSU09880,768,0.0234375,0.01984375,0.002245244,1.600605696,0.018229167,0.020216146,0.003107323,-0.639450466,n,n
BSU09889,186,0.021505376,0.017430108,0.004101619,0.993575683,0.02688172,0.023956989,0.004551769,0.642548162,n,n
BSU09890,897,0.018952062,0.017534002,0.002274952,0.623336019,0.02006689,0.027590858,0.003204088,-2.348240347,n,n
BSU09900,1260,0.019047619,0.01934127,0.001964864,-0.149451013,0.015873016,0.016324603,0.002288076,-0.197365368,n,n
BSU09910,1227,0.017114914,0.014692747,0.002065599,1.172622287,0.024449878,0.025763651,0.002756915,-0.476537277,n,n
BSU09920,2892,0.01417704,0.013967842,0.001226211,0.170604955,0.025587828,0.024848893,0.001778496,0.415482977,n,n
BSU09930,945,0.023280423,0.019171429,0.002067999,1.986941738,0.024338624,0.024938624,0.003062553,-0.195914976,n,n
BSU09940,213,0.009389671,0.007122066,0.002347235,0.966075278,0.014084507,0.018478873,0.004355747,-1.008866253,n,n
BSU09950,879,0.022753129,0.019997725,0.001938969,1.421066935,0.025028441,0.030544937,0.003388052,-1.628220382,n,n
BSU09959,87,0.011494253,0.023873563,0.008140435,-1.520718428,0.011494253,0.003758621,0.005394851,1.433891812,n,n
BSU09965,519,0.026974952,0.03177264,0.003525141,-1.36099157,0.013487476,0.015086705,0.003277792,-0.487898192,n,n
BSU09980,342,0.032163743,0.026403509,0.003917359,1.470438071,0.026315789,0.030807017,0.004655683,-0.964676562,n,n
BSU09990,612,0.019607843,0.021401961,0.002565339,-0.699368663,0.031045752,0.030531046,0.003724261,0.138203534,n,n
BSU10000,357,0.016806723,0.016602241,0.003043894,0.067177806,0.014005602,0.018546219,0.003968671,-1.144115216,n,n
BSU10009,192,0.005208333,0.008697917,0.004687239,-0.744485918,0,0.003880208,0.003432799,-1.13033356,n,n
BSU10010,519,0.026974952,0.025828516,0.002974591,0.385409448,0.007707129,0.006622351,0.001832912,0.591833248,y,n
BSU10020,1080,0.018518519,0.016948148,0.001951932,0.804521374,0.017592593,0.02332037,0.002858538,-2.00374333,n,n
BSU10030,438,0.00913242,0.008472603,0.001998526,0.330151965,0.029680365,0.029073059,0.003978293,0.152654903,n,n
BSU10040,744,0.024193548,0.026818548,0.002626514,-0.999423776,0.022849462,0.01763172,0.003258668,1.601188468,n,n
BSU10050,1227,0.021189894,0.018123879,0.002014783,1.521759536,0.008149959,0.011330073,0.002132619,-1.491177491,n,n
BSU10060,711,0.015471167,0.014572433,0.00244163,0.368087608,0.021097046,0.023488045,0.003126333,-0.764793461,n,n
BSU10070,1191,0.01427372,0.011283795,0.001746473,1.711978802,0.019311503,0.018433249,0.002571966,0.341471803,n,n
BSU10080,1392,0.019396552,0.016763649,0.001803587,1.459814527,0.011494253,0.01152658,0.001943947,-0.016629568,n,n
BSU10090,315,0.038095238,0.033952381,0.002952278,1.403274579,0.019047619,0.02068254,0.005005677,-0.326613365,n,n
BSU10100,501,0.011976048,0.012407186,0.002321467,-0.185717761,0.017964072,0.021888224,0.003808394,-1.030395495,n,n
BSU10110,2145,0.016783217,0.01461958,0.001391671,1.554703794,0.024242424,0.024719347,0.002126062,-0.224322279,n,n
BSU10120,1062,0.016007533,0.013327684,0.001821011,1.471626863,0.02354049,0.020582863,0.002906334,1.017648786,n,n
BSU10130,933,0.015005359,0.012326902,0.001952144,1.372059056,0.031082529,0.030939979,0.003114854,0.04576459,n,n
BSU10140,1413,0.01910828,0.018418259,0.001878234,0.367377632,0.019815994,0.020527955,0.002420927,-0.294086104,n,n
BSU10150,576,0.013888889,0.013036458,0.002722086,0.313153502,0.019097222,0.022824653,0.003493615,-1.066926661,n,n
BSU10160,2328,0.021907216,0.020185137,0.001394922,1.234534057,0.030068729,0.025491838,0.00213028,2.148492955,n,n
BSU10170,978,0.016359918,0.015344581,0.002199571,0.461606868,0.020449898,0.021890593,0.00270734,-0.532144164,n,n
BSU10180,777,0.016731017,0.02065251,0.002553564,-1.535694168,0.014157014,0.014631918,0.00271166,-0.17513408,n,n
BSU10200,1041,0.015369837,0.014275696,0.0019966,0.548001847,0.029779059,0.024977906,0.002866256,1.675060711,n,n
BSU10210,408,0.026960784,0.020171569,0.00287348,2.362715387,0.031862745,0.040254902,0.004330228,-1.938040506,n,n
BSU10220,1290,0.020930233,0.021257364,0.002116914,-0.154532176,0.013178295,0.014300775,0.002504216,-0.448236139,n,n
BSU10230,141,0.021276596,0.019,0.003312726,0.687227329,0.028368794,0.029602837,0.005006018,-0.246511883,n,n
BSU10240,735,0.012244898,0.01372381,0.002060551,-0.717726339,0.019047619,0.018202721,0.003216457,0.26267975,n,n
BSU10250,996,0.016064257,0.017508032,0.002033537,-0.709982094,0.025100402,0.026855422,0.003153371,-0.556553526,n,n
BSU10260,645,0.009302326,0.011215504,0.002053897,-0.931486635,0.027906977,0.029787597,0.003457261,-0.543962352,n,n
BSU10270,1542,0.018806744,0.018648508,0.001651208,0.095830169,0.016212711,0.017784695,0.002216714,-0.709150525,n,n
BSU10280,396,0.025252525,0.026108586,0.002907228,-0.294459535,0.017676768,0.023015152,0.003872255,-1.378624105,n,n
BSU10290,1281,0.016393443,0.016845433,0.001987222,-0.227448293,0.018735363,0.021313037,0.002415999,-1.066918419,n,n
BSU10300,1146,0.018324607,0.016039267,0.001861809,1.227483432,0.020069808,0.024933682,0.002942863,-1.652769395,n,n
BSU10310,450,0.017777778,0.015886667,0.002502411,0.755715795,0.013333333,0.016324444,0.003748336,-0.797983759,n,n
BSU10320,993,0.018126888,0.018656596,0.002491189,-0.212632654,0.018126888,0.02004431,0.003060837,-0.626437086,n,n
BSU10330,972,0.026748971,0.022449588,0.0020036,2.145829161,0.023662551,0.027697531,0.00315549,-1.278717504,n,n
BSU10340,582,0.024054983,0.020534364,0.002688906,1.309312542,0.017182131,0.019305842,0.003491159,-0.60831119,n,n
BSU10350,1095,0.010045662,0.012147032,0.0019822,-1.060119961,0.01369863,0.020189954,0.00282366,-2.298903961,n,n
BSU10360,1440,0.013888889,0.013039583,0.001629916,0.521073285,0.018055556,0.022183333,0.002491666,-1.656633301,n,n
BSU10370,561,0.023172906,0.02259893,0.003491283,0.164402463,0.007130125,0.008286988,0.002637899,-0.438554773,n,n
BSU10380,1299,0.015396459,0.013887606,0.001768194,0.85333013,0.025404157,0.025461894,0.00280438,-0.020588149,n,n
BSU10390,1530,0.017647059,0.015377778,0.00164201,1.382014214,0.023529412,0.023596078,0.002400311,-0.027773896,n,n
BSU10400,858,0.012820513,0.017621212,0.002154209,-2.228520427,0.016317016,0.018801865,0.002989495,-0.831193665,n,n
BSU10410,234,0.017094017,0.017542735,0.002974492,-0.150855334,0.025641026,0.022551282,0.005099089,0.605940407,n,n
BSU10420,579,0.017271157,0.015777202,0.002169819,0.688515846,0.01208981,0.019772021,0.00365634,-2.101065696,n,n
BSU10430,900,0.017777778,0.014773333,0.00207271,1.449524607,0.015555556,0.016887778,0.002798532,-0.476043152,n,n
BSU10440,270,0.014814815,0.012533333,0.00359371,0.634854106,0.018518519,0.018459259,0.004282675,0.013837147,n,n
BSU10450,1470,0.018367347,0.017318367,0.001892083,0.554404766,0.004761905,0.008604762,0.00182701,-2.103358057,n,n
BSU10460,201,0.029850746,0.024577114,0.004903392,1.075506881,0.009950249,0.011562189,0.002329523,-0.691961376,n,n
BSU10470,363,0.022038567,0.019796143,0.003192202,0.702469148,0.024793388,0.025165289,0.004335892,-0.085772658,n,n
BSU10480,624,0.019230769,0.021711538,0.002949364,-0.841120217,0.009615385,0.010338141,0.002811885,-0.257036133,n,n
BSU10490,507,0.027613412,0.023911243,0.003039169,1.218151929,0.031558185,0.034224852,0.004542231,-0.587083096,n,n
BSU10500,1500,0.02,0.017784667,0.001784855,1.241184162,0.014,0.017104,0.002267572,-1.368865205,n,n
BSU10510,528,0.017045455,0.018013258,0.002740638,-0.353130444,0.024621212,0.027125,0.003798441,-0.659162027,n,n
BSU10520,1206,0.040630182,0.037378109,0.002255529,1.441822391,0.020729685,0.021115257,0.002624846,-0.146893203,n,n
BSU10530,1053,0.033238367,0.03468566,0.002049629,-0.706124483,0.036087369,0.035047483,0.003308895,0.314269836,n,n
BSU10540,849,0.029446408,0.025253239,0.002217984,1.890531815,0.038869258,0.039974087,0.003336095,-0.331174283,n,n
